08/05/2024 22:18:41; Entitet_1, 410
08/05/2024 22:18:45; Entitet_2, 299
08/05/2024 22:18:49; Entitet_2, 300
08/05/2024 22:18:53; Entitet_1, 324
08/05/2024 22:19:00; Entitet_1, 328
08/05/2024 22:19:03; Entitet_1, 187
08/05/2024 22:19:09; Entitet_1, 340
08/05/2024 22:19:13; Entitet_0, 177
08/05/2024 22:19:17; Entitet_0, 446
08/05/2024 22:19:21; Entitet_2, 270
08/05/2024 22:19:24; Entitet_1, 326
08/05/2024 22:19:31; Entitet_2, 400
08/05/2024 22:19:34; Entitet_2, 357
08/05/2024 22:19:39; Entitet_1, 302
08/05/2024 22:19:43; Entitet_3, 275
08/05/2024 22:19:49; Entitet_3, 446
08/05/2024 22:19:53; Entitet_3, 444
08/05/2024 22:19:59; Entitet_0, 176
08/05/2024 22:20:04; Entitet_3, 209
08/05/2024 22:20:10; Entitet_3, 268
08/05/2024 22:20:15; Entitet_3, 423
08/05/2024 22:20:19; Entitet_1, 164
08/05/2024 22:20:26; Entitet_3, 353
08/05/2024 22:20:32; Entitet_0, 331
08/05/2024 22:20:36; Entitet_1, 410
08/05/2024 22:20:40; Entitet_0, 260
08/05/2024 22:20:46; Entitet_1, 251
08/05/2024 22:20:53; Entitet_3, 381
08/05/2024 22:20:58; Entitet_1, 212
